date;sensor;temperature;vibration
2020-01-01 18:02:51;38;372.56;9613.72
2020-01-01 18:02:51;39;147.64;2915.59
2020-01-01 18:02:51;41;459.68;-2470.78
2020-01-01 18:02:51;65;431.73;871.83
2020-01-01 18:02:51;66;450.64;-8638.25
2020-01-01 18:02:51;76;127.67;9566.59
2020-01-01 18:02:51;80;381.47;-6150.39
2020-01-01 18:02:51;100;62.64;2328.04
2020-02-24 03:14:30;1;394.56;6822.67
2020-02-24 03:14:30;10;311.95;4205.17
2020-02-24 03:14:30;13;476.27;887.78
2020-02-24 03:14:30;28;408.21;6860.77
2020-02-24 03:14:30;58;35.0;5676.11
2020-02-24 03:14:30;91;224.24;7203.85
2020-02-24 03:14:30;97;444.07;-602.48
2020-02-09 06:36:21;8;420.88;-1456.51
2020-02-09 06:36:21;45;307.49;4436.67
2020-02-09 06:36:21;61;301.42;-1194.66
2020-02-09 06:36:21;87;487.26;3299.95
2020-02-09 06:36:21;88;208.49;-7305.62
2020-02-09 06:36:21;93;487.68;-9614.24
2020-01-15 08:45:12;1;209.08;8796.5
2020-01-15 08:45:12;10;113.38;-3306.58
2020-01-15 08:45:12;13;296.14;-2252.53
2020-01-15 08:45:12;28;207.89;-4505.14
2020-01-15 08:45:12;58;149.99;4368.07
2020-01-15 08:45:12;91;407.51;-3233.62
2020-01-15 08:45:12;97;12.72;3166.75
2020-03-07 21:38:58;24;86.08;4872.46
2020-03-07 21:38:58;33;79.05;-7522.32
2020-03-07 21:38:58;35;19.83;7612.34
2020-03-07 21:38:58;55;317.97;-6305.2
2020-03-07 21:38:58;63;1.0;5207.99
2020-03-07 21:38:58;70;90.45;-8732.2
2020-03-07 21:38:58;72;172.45;6264.3
2020-03-07 21:38:58;82;222.42;5682.64
2020-03-07 21:38:58;96;10.02;1242.28
2019-12-25 11:02:05;3;235.85;6268.36
2019-12-25 11:02:05;9;121.13;-700.6
2019-12-25 11:02:05;22;250.75;8364.68
2019-12-25 11:02:05;23;272.77;968.58
2019-12-25 11:02:05;48;457.45;-8783.71
2019-12-25 11:02:05;68;251.54;-6599.55
2019-12-25 11:02:05;71;16.47;-7793.82
2019-12-25 11:02:05;73;189.17;-1848.94
2019-12-25 11:02:05;85;196.81;-5104.18
2020-01-05 21:06:59;6;36.28;8142.46
2020-01-05 21:06:59;18;5.53;3839.72
2020-01-05 21:06:59;49;243.28;4209.53
2020-01-05 21:06:59;50;110.58;4226.59
2020-01-05 21:06:59;60;8.09;6211.16
2020-01-05 21:06:59;64;415.81;4499.35
2020-01-05 21:06:59;86;498.42;6371.14
2020-01-05 21:06:59;90;363.57;-9279.45
2020-01-05 21:06:59;95;420.86;-3809.5
2020-02-04 17:14:11;37;465.99;4351.96
2020-02-04 17:14:11;38;222.14;2006.04
2020-02-04 17:14:11;39;72.33;-7430.71
2020-02-04 17:14:11;41;133.57;-7527.65
2020-02-04 17:14:11;65;35.48;-9335.51
2020-02-04 17:14:11;66;487.23;2405.07
2020-02-04 17:14:11;76;76.93;8023.11
2020-02-04 17:14:11;80;34.66;-4624.05
2020-02-04 17:14:11;100;454.77;1198.59
2019-12-23 20:28:58;14;158.88;8977.37
2019-12-23 20:28:58;31;348.81;6006.65
2019-12-23 20:28:58;53;383.61;5844.73
2019-12-23 20:28:58;62;314.52;-1744.3
2019-12-23 20:28:58;77;452.95;-5841.12
2019-12-23 20:28:58;79;174.98;-9779.89
2019-12-23 20:28:58;83;384.96;-3222.13
2019-12-23 20:28:58;94;442.84;-6473.89
2020-01-17 07:18:25;5;442.03;-2997.97
2020-01-17 07:18:25;43;426.47;4494.75
2020-01-17 07:18:25;44;450.14;-4515.32
2020-01-17 07:18:25;67;492.14;-6620.11
2020-01-30 00:25:34;5;161.84;-6275.25
2020-01-30 00:25:34;43;484.11;7084.97
2020-01-30 00:25:34;44;90.44;-1971.98
2020-01-30 00:25:34;67;155.65;7272.04
2020-01-11 08:56:00;2;208.57;2939.09
2020-01-11 08:56:00;7;12.47;-2439.12
2020-01-11 08:56:00;19;335.8;956.32
2020-01-11 08:56:00;26;357.51;464.98
2020-01-11 08:56:00;30;376.02;-1692.63
2020-01-11 08:56:00;57;301.42;-7306.18
2020-01-11 08:56:00;69;335.41;8584.05
2020-01-11 08:56:00;75;170.2;6010.37
2020-02-07 02:53:18;11;347.32;-9157.25
2020-02-07 02:53:18;15;159.88;9226.36
2020-02-07 02:53:18;20;188.92;-9247.18
2020-02-07 02:53:18;21;85.1;-4501.86
2020-02-07 02:53:18;36;243.98;2743.17
2020-02-07 02:53:18;59;353.7;4927.5
2020-02-18 22:15:26;5;252.87;-8556.71
2020-02-18 22:15:26;43;469.54;485.98
2020-02-18 22:15:26;44;211.36;-2652.56
2020-02-18 22:15:26;67;369.87;-3749.19
2020-03-04 09:06:29;12;43.74;-954.99
2020-03-04 09:06:29;16;337.23;1018.18
2020-03-04 09:06:29;27;471.37;8422.74
2020-03-04 09:06:29;51;120.82;-5271.36
2020-03-04 09:06:29;56;383.22;-2034.17
2020-03-04 09:06:29;81;368.68;9032.04
2020-03-04 09:06:29;89;393.76;5600.76
2019-12-02 09:20:59;37;46.03;-7400.95
2019-12-02 09:20:59;38;343.61;3968.39
2019-12-02 09:20:59;39;117.65;-60.12
2019-12-02 09:20:59;41;237.78;-9172.13
2019-12-02 09:20:59;65;128.55;6416.01
2019-12-02 09:20:59;66;378.75;4376.51
2019-12-02 09:20:59;76;130.73;577.05
2019-12-02 09:20:59;80;55.33;-8621.38
2019-12-02 09:20:59;100;218.94;-2149.59
2019-12-03 13:13:49;5;172.36;5333.89
2019-12-03 13:13:49;43;339.94;1168.17
2019-12-03 13:13:49;44;70.84;-8348.13
2019-12-03 13:13:49;67;15.17;-9135.73
2019-12-21 00:53:28;24;19.73;326.01
2019-12-21 00:53:28;33;284.12;-8302.12
2019-12-21 00:53:28;35;397.75;7693.47
2019-12-21 00:53:28;55;431.31;3682.79
2019-12-21 00:53:28;63;318.21;-3313.1
2019-12-21 00:53:28;70;387.16;3248.7
2019-12-21 00:53:28;72;173.23;3301.54
2019-12-21 00:53:28;82;261.52;-3756.24
2019-12-21 00:53:28;96;204.88;-167.11
2020-02-17 05:09:39;14;403.41;-7575.48
2020-02-17 05:09:39;31;263.36;1044.4
2020-02-17 05:09:39;53;182.5;7865.11
2020-02-17 05:09:39;62;482.73;-4399.88
2020-02-17 05:09:39;77;376.4;2098.8
2020-02-17 05:09:39;79;78.07;7409.01
2020-02-17 05:09:39;83;305.95;8691.74
2020-02-17 05:09:39;94;467.34;330.23
2019-12-22 13:54:50;6;46.63;-8494.97
2019-12-22 13:54:50;18;224.29;3412.55
2019-12-22 13:54:50;49;80.86;7735.67
2019-12-22 13:54:50;50;2.09;2724.68
2019-12-22 13:54:50;60;383.04;9676.13
2019-12-22 13:54:50;64;199.29;952.01
2019-12-22 13:54:50;86;210.17;4376.29
2019-12-22 13:54:50;90;202.1;-1969.39
2019-12-22 13:54:50;95;293.2;7226.83
2020-01-01 13:32:23;24;2.92;1654.23
2020-01-01 13:32:23;33;114.68;-1271.7
2020-01-01 13:32:23;35;142.92;-9666.49
2020-01-01 13:32:23;55;99.32;-3873.66
2020-01-01 13:32:23;63;493.67;8713.11
2020-01-01 13:32:23;70;83.28;-9467.51
2020-01-01 13:32:23;72;214.76;-7919.9
2020-01-01 13:32:23;82;368.91;8568.53
2020-01-01 13:32:23;96;225.12;9693.83
2020-01-10 20:04:05;34;324.79;9881.21
2020-01-10 20:04:05;46;80.62;-3599.66
2020-01-10 20:04:05;47;185.16;-7081.93
2020-01-10 20:04:05;52;348.34;269.67
2020-01-10 20:04:05;74;83.59;5117.04
2020-01-10 20:04:05;78;51.59;1361.8
2020-01-10 20:04:05;84;67.09;6838.36
2020-02-18 18:08:01;2;301.38;-9554.99
2020-02-18 18:08:01;7;167.2;-5369.16
2020-02-18 18:08:01;19;246.92;3510.96
2020-02-18 18:08:01;26;169.16;9141.29
2020-02-18 18:08:01;30;279.15;-2158.22
2020-02-18 18:08:01;57;86.78;565.24
2020-02-18 18:08:01;69;265.95;-1925.32
2020-02-18 18:08:01;75;216.04;-1475.36
2020-02-16 03:30:53;24;380.76;3516.44
2020-02-16 03:30:53;33;176.37;2094.34
2020-02-16 03:30:53;35;427.85;-1462.35
2020-02-16 03:30:53;55;330.54;-4444.6
2020-02-16 03:30:53;63;262.3;8330.98
2020-02-16 03:30:53;70;39.46;4952.01
2020-02-16 03:30:53;72;299.18;-4815.18
2020-02-16 03:30:53;82;454.88;6379.39
2020-02-16 03:30:53;96;257.1;3551.18
2020-01-05 23:36:31;3;347.39;8391.65
2020-01-05 23:36:31;9;233.56;1677.26
2020-01-05 23:36:31;22;269.89;3800.64
2020-01-05 23:36:31;23;125.19;-3990.54
2020-01-05 23:36:31;48;464.22;7480.96
2020-01-05 23:36:31;68;342.42;5108.99
2020-01-05 23:36:31;71;14.82;4698.32
2020-01-05 23:36:31;73;386.9;9620.09
2020-01-05 23:36:31;85;30.28;-5730.01
2019-12-24 11:30:31;6;376.16;2251.09
2019-12-24 11:30:31;18;483.26;7869.67
2019-12-24 11:30:31;49;482.18;223.74
2019-12-24 11:30:31;50;295.29;-4540.4
2019-12-24 11:30:31;60;181.48;8906.16
2019-12-24 11:30:31;64;454.98;517.76
2019-12-24 11:30:31;86;8.6;9958.05
2019-12-24 11:30:31;90;88.47;2082.88
2019-12-24 11:30:31;95;273.04;-7580.23
2019-12-29 23:18:22;14;452.8;738.89
2019-12-29 23:18:22;31;355.52;-5916.13
2019-12-29 23:18:22;53;362.21;-8804.33
2019-12-29 23:18:22;62;298.44;9419.32
2019-12-29 23:18:22;77;314.79;-6255.88
2019-12-29 23:18:22;79;489.35;5461.86
2019-12-29 23:18:22;83;400.39;-5863.66
2019-12-29 23:18:22;94;88.71;-6027.25
2019-12-29 14:43:43;12;480.27;3272.14
2019-12-29 14:43:43;16;390.68;4997.68
2019-12-29 14:43:43;27;392.48;-3239.47
2019-12-29 14:43:43;51;142.05;-3768.88
2019-12-29 14:43:43;56;82.32;-8479.93
2019-12-29 14:43:43;81;478.95;5541.92
2019-12-29 14:43:43;89;476.13;6052.72
2019-12-02 20:06:59;6;458.17;-7849.6
2019-12-02 20:06:59;18;453.21;-1920.79
2019-12-02 20:06:59;49;130.55;-5748.36
2019-12-02 20:06:59;50;53.29;389.42
2019-12-02 20:06:59;60;109.67;6557.63
2019-12-02 20:06:59;64;13.71;-1921.97
2019-12-02 20:06:59;86;54.73;-8549.18
2019-12-02 20:06:59;90;143.85;1897.32
2019-12-02 20:06:59;95;169.81;6116.41
2019-12-13 15:49:04;12;189.95;534.31
2019-12-13 15:49:04;16;488.07;8337.93
2019-12-13 15:49:04;27;421.75;5191.91
2019-12-13 15:49:04;51;176.11;-1451.44
2019-12-13 15:49:04;56;346.99;-7260.81
2019-12-13 15:49:04;81;2.88;1865.15
2019-12-13 15:49:04;89;104.86;9552.82
2020-02-25 03:42:49;2;439.08;4322.55
2020-02-25 03:42:49;7;309.46;-8770.74
2020-02-25 03:42:49;19;81.38;1789.89
2020-02-25 03:42:49;26;493.4;-7004.65
2020-02-25 03:42:49;30;426.77;5830.09
2020-02-25 03:42:49;57;169.15;-6346.44
2020-02-25 03:42:49;69;183.75;-8439.58
2020-02-25 03:42:49;75;194.3;-6169.28
2019-12-31 17:23:29;3;443.98;-1273.22
2019-12-31 17:23:29;9;474.48;3855.46
2019-12-31 17:23:29;22;355.73;-2404.44
2019-12-31 17:23:29;23;448.35;9016.5
2019-12-31 17:23:29;48;288.15;8165.63
2019-12-31 17:23:29;68;259.39;8269.94
2019-12-31 17:23:29;71;108.49;7684.45
2019-12-31 17:23:29;73;370.81;4626.23
2019-12-31 17:23:29;85;114.12;-9302.15
2020-02-29 10:18:59;6;170.61;12.16
2020-02-29 10:18:59;18;113.2;-400.67
2020-02-29 10:18:59;49;303.27;-2073.14
2020-02-29 10:18:59;50;246.67;4013.69
2020-02-29 10:18:59;60;141.83;9316.96
2020-02-29 10:18:59;64;125.93;-7734.5
2020-02-29 10:18:59;86;21.97;-5185.0
2020-02-29 10:18:59;90;78.19;6066.04
2020-02-29 10:18:59;95;32.42;7106.35
2019-12-31 22:58:27;34;244.23;-2280.79
2019-12-31 22:58:27;46;146.92;4932.5
2019-12-31 22:58:27;47;57.26;1058.55
2019-12-31 22:58:27;52;170.71;4617.07
2019-12-31 22:58:27;74;33.32;4886.23
2019-12-31 22:58:27;78;373.24;8292.13
2019-12-31 22:58:27;84;329.09;-7796.97
2020-01-06 01:36:10;34;495.33;-2684.02
2020-01-06 01:36:10;46;381.51;8239.58
2020-01-06 01:36:10;47;7.48;-7038.35
2020-01-06 01:36:10;52;107.33;2140.83
2020-01-06 01:36:10;74;121.16;-7083.31
2020-01-06 01:36:10;78;354.65;2050.02
2020-01-06 01:36:10;84;79.02;-7258.67
2019-12-31 20:34:11;34;340.32;5643.95
2019-12-31 20:34:11;46;403.7;808.94
2019-12-31 20:34:11;47;423.82;-5108.67
2019-12-31 20:34:11;52;406.88;5327.43
2019-12-31 20:34:11;74;374.27;-1492.72
2019-12-31 20:34:11;78;462.76;-4749.74
2019-12-31 20:34:11;84;131.45;6398.56
2020-02-26 23:58:57;8;390.56;-9172.99
2020-02-26 23:58:57;45;48.98;-3639.29
2020-02-26 23:58:57;61;38.03;-2264.95
2020-02-26 23:58:57;87;456.17;-4245.53
2020-02-26 23:58:57;88;326.33;-5202.69
2020-02-26 23:58:57;93;255.9;605.63
2019-12-13 06:00:44;37;182.8;677.07
2019-12-13 06:00:44;38;49.42;9100.54
2019-12-13 06:00:44;39;297.86;-4993.55
2019-12-13 06:00:44;41;437.3;1446.62
2019-12-13 06:00:44;65;372.74;-9719.5
2019-12-13 06:00:44;66;91.46;3099.3
2019-12-13 06:00:44;76;190.25;-9416.29
2019-12-13 06:00:44;80;421.72;-4872.13
2019-12-13 06:00:44;100;479.0;5654.4
2020-02-07 01:10:25;24;181.93;8331.56
2020-02-07 01:10:25;33;1.7;2895.18
2020-02-07 01:10:25;35;389.58;6510.56
2020-02-07 01:10:25;55;20.14;9626.17
2020-02-07 01:10:25;63;186.71;-5970.24
2020-02-07 01:10:25;70;226.48;8743.81
2020-02-07 01:10:25;72;471.61;-2127.63
2020-02-07 01:10:25;82;270.63;-8329.83
2020-02-07 01:10:25;96;477.16;7778.32
2019-12-17 07:21:42;12;382.48;-9072.36
2019-12-17 07:21:42;16;160.06;-8674.03
2019-12-17 07:21:42;27;399.04;4926.79
2019-12-17 07:21:42;51;232.11;467.06
2019-12-17 07:21:42;56;394.16;8549.99
2019-12-17 07:21:42;81;348.5;-8845.27
2019-12-17 07:21:42;89;319.08;2936.37
2019-12-11 21:07:24;4;145.44;6100.51
2019-12-11 21:07:24;17;494.08;-7936.4
2019-12-11 21:07:24;25;77.85;6920.33
2019-12-11 21:07:24;29;90.71;6148.54
2019-12-11 21:07:24;32;306.05;-737.97
2019-12-11 21:07:24;40;174.89;3198.53
2019-12-11 21:07:24;92;480.85;-3187.67
2019-12-23 17:20:44;34;481.17;524.79
2019-12-23 17:20:44;46;85.8;-9798.22
2019-12-23 17:20:44;47;88.9;-6583.25
2019-12-23 17:20:44;52;14.74;1523.88
2019-12-23 17:20:44;74;145.69;4488.5
2019-12-23 17:20:44;78;164.69;-1797.67
2019-12-23 17:20:44;84;108.83;-6260.63
2019-12-12 22:23:15;34;68.33;-6565.55
2019-12-12 22:23:15;46;426.54;-7438.74
2019-12-12 22:23:15;47;260.43;-3492.89
2019-12-12 22:23:15;52;429.76;4581.85
2019-12-12 22:23:15;74;156.78;-6115.2
2019-12-12 22:23:15;78;234.07;-4447.54
2019-12-12 22:23:15;84;322.88;-9297.87
2019-12-17 07:18:48;12;442.24;9344.59
2019-12-17 07:18:48;16;387.19;5969.53
2019-12-17 07:18:48;27;66.75;7620.55
2019-12-17 07:18:48;51;222.41;2780.22
2019-12-17 07:18:48;56;140.13;-5055.37
2019-12-17 07:18:48;81;437.78;8630.17
2019-12-17 07:18:48;89;425.1;-390.67
2020-03-06 02:02:05;6;155.62;288.47
2020-03-06 02:02:05;18;98.32;-7653.18
2020-03-06 02:02:05;49;399.48;-8941.91
2020-03-06 02:02:05;50;78.38;8383.15
2020-03-06 02:02:05;60;98.18;8975.55
2020-03-06 02:02:05;64;295.52;3857.99
2020-03-06 02:02:05;86;252.54;8501.91
2020-03-06 02:02:05;90;155.78;-1930.52
2020-03-06 02:02:05;95;469.3;-2672.56
2020-02-05 03:42:00;14;497.21;-7316.34
2020-02-05 03:42:00;31;269.54;7010.88
2020-02-05 03:42:00;53;344.24;-4305.32
2020-02-05 03:42:00;62;449.45;-7368.87
2020-02-05 03:42:00;77;279.31;-7384.08
2020-02-05 03:42:00;79;69.47;-571.18
2020-02-05 03:42:00;83;402.22;1746.94
2020-02-05 03:42:00;94;253.65;-4633.59
2019-12-17 15:55:30;4;96.33;-6427.94
2019-12-17 15:55:30;17;463.59;-2265.27
2019-12-17 15:55:30;25;394.76;-8897.01
2019-12-17 15:55:30;29;479.37;-6291.59
2019-12-17 15:55:30;32;444.92;-5435.24
2019-12-17 15:55:30;40;455.85;4664.64
2019-12-17 15:55:30;92;438.68;8093.73
2020-01-21 02:18:09;34;363.59;4632.51
2020-01-21 02:18:09;46;38.19;6964.73
2020-01-21 02:18:09;47;243.03;-349.3
2020-01-21 02:18:09;52;498.78;7184.56
2020-01-21 02:18:09;74;446.34;4787.53
2020-01-21 02:18:09;78;287.52;-2146.18
2020-01-21 02:18:09;84;189.67;-4924.72
2020-02-13 08:17:16;1;490.83;4731.52
2020-02-13 08:17:16;10;81.53;-4226.37
2020-02-13 08:17:16;13;239.67;5373.14
2020-02-13 08:17:16;28;393.73;8820.67
2020-02-13 08:17:16;58;494.21;-310.63
2020-02-13 08:17:16;91;261.68;7376.77
2020-02-13 08:17:16;97;304.79;-5128.06
2020-02-27 06:00:20;1;408.22;-461.05
2020-02-27 06:00:20;10;450.0;-9800.33
2020-02-27 06:00:20;13;314.16;-2632.72
2020-02-27 06:00:20;28;187.94;-8744.12
2020-02-27 06:00:20;58;115.39;-3227.41
2020-02-27 06:00:20;91;154.62;-3655.96
2020-02-27 06:00:20;97;10.47;-9696.56
2019-12-17 12:42:33;37;176.97;9860.04
2019-12-17 12:42:33;38;472.34;-6819.43
2019-12-17 12:42:33;39;244.15;385.51
2019-12-17 12:42:33;41;340.69;667.49
2019-12-17 12:42:33;65;60.74;-754.12
2019-12-17 12:42:33;66;440.6;-2860.16
2019-12-17 12:42:33;76;127.8;-6200.35
2019-12-17 12:42:33;80;335.33;4752.06
2019-12-17 12:42:33;100;280.8;7108.6
2020-02-25 02:02:25;24;10.22;-3674.43
2020-02-25 02:02:25;33;387.84;-8041.09
2020-02-25 02:02:25;35;33.44;-1760.76
2020-02-25 02:02:25;55;281.26;5875.06
2020-02-25 02:02:25;63;431.62;-3234.88
2020-02-25 02:02:25;70;244.32;8672.07
2020-02-25 02:02:25;72;373.85;-540.16
2020-02-25 02:02:25;82;282.3;9199.53
2020-02-25 02:02:25;96;11.95;-4547.6
2020-01-08 17:32:07;37;349.11;411.59
2020-01-08 17:32:07;38;425.55;9272.45
2020-01-08 17:32:07;39;395.5;2520.76
2020-01-08 17:32:07;41;303.04;-4992.33
2020-01-08 17:32:07;65;99.47;-3556.11
2020-01-08 17:32:07;66;163.23;-6049.23
2020-01-08 17:32:07;76;269.42;-9356.33
2020-01-08 17:32:07;80;477.1;-6999.06
2020-01-08 17:32:07;100;314.39;-4320.59
2020-01-11 20:33:39;12;439.68;8421.88
2020-01-11 20:33:39;16;328.52;-4680.31
2020-01-11 20:33:39;27;303.66;-9499.9
2020-01-11 20:33:39;51;265.86;6096.25
2020-01-11 20:33:39;56;486.35;-2147.3
2020-01-11 20:33:39;81;389.37;2357.27
2020-01-11 20:33:39;89;264.48;6108.2
2020-02-20 18:37:24;3;374.51;-6834.16
2020-02-20 18:37:24;9;447.47;8582.28
2020-02-20 18:37:24;22;45.31;3914.1
2020-02-20 18:37:24;23;433.79;-2841.62
2020-02-20 18:37:24;48;214.98;-5887.78
2020-02-20 18:37:24;68;389.61;9213.16
2020-02-20 18:37:24;71;335.27;4609.73
2020-02-20 18:37:24;73;213.78;-2734.13
2020-02-20 18:37:24;85;384.23;2618.1
2020-01-25 18:56:56;34;25.92;-1212.88
2020-01-25 18:56:56;46;353.75;5176.83
2020-01-25 18:56:56;47;421.69;-7147.96
2020-01-25 18:56:56;52;217.33;-7606.05
2020-01-25 18:56:56;74;120.74;1608.56
2020-01-25 18:56:56;78;398.09;48.9
2020-01-25 18:56:56;84;107.23;-8929.7
2019-12-04 12:09:47;37;286.3;-3243.84
2019-12-04 12:09:47;38;198.56;6937.32
2019-12-04 12:09:47;39;288.14;-2258.88
2019-12-04 12:09:47;41;61.02;1656.12
2019-12-04 12:09:47;65;194.45;-4395.14
2019-12-04 12:09:47;66;26.85;3660.74
2019-12-04 12:09:47;76;48.2;-352.14
2019-12-04 12:09:47;80;123.78;6569.1
2019-12-04 12:09:47;100;393.22;-3573.43
2020-03-07 02:30:38;14;229.58;-1922.84
2020-03-07 02:30:38;31;376.46;9151.39
2020-03-07 02:30:38;53;56.93;5503.12
2020-03-07 02:30:38;62;50.82;3369.29
2020-03-07 02:30:38;77;137.06;-4008.45
2020-03-07 02:30:38;79;259.3;5842.87
2020-03-07 02:30:38;83;89.72;377.34
2020-03-07 02:30:38;94;235.79;2272.51
2019-12-11 18:52:51;24;300.51;-4850.5
2019-12-11 18:52:51;33;272.62;-2288.99
2019-12-11 18:52:51;35;347.98;203.02
2019-12-11 18:52:51;55;338.35;1542.18
2019-12-11 18:52:51;63;287.86;-2024.74
2019-12-11 18:52:51;70;5.68;-6377.03
2019-12-11 18:52:51;72;228.56;1499.97
2019-12-11 18:52:51;82;182.11;-5767.47
2019-12-11 18:52:51;96;129.14;-898.67
2020-02-24 10:33:34;11;342.41;9485.91
2020-02-24 10:33:34;15;197.0;9048.94
2020-02-24 10:33:34;20;417.04;7545.37
2020-02-24 10:33:34;21;424.23;7232.31
2020-02-24 10:33:34;36;89.54;-8329.13
2020-02-24 10:33:34;59;386.13;-508.8
2020-01-20 06:15:25;24;282.31;2540.44
2020-01-20 06:15:25;33;157.0;5127.06
2020-01-20 06:15:25;35;454.3;7893.97
2020-01-20 06:15:25;55;292.87;-3353.62
2020-01-20 06:15:25;63;260.11;6976.22
2020-01-20 06:15:25;70;420.52;2513.56
2020-01-20 06:15:25;72;440.09;7400.51
2020-01-20 06:15:25;82;457.15;4459.2
2020-01-20 06:15:25;96;272.23;6928.31
2020-01-30 10:17:16;14;313.58;5201.22
2020-01-30 10:17:16;31;173.28;3358.72
2020-01-30 10:17:16;53;406.43;7049.4
2020-01-30 10:17:16;62;136.62;-2927.32
2020-01-30 10:17:16;77;49.19;6891.02
2020-01-30 10:17:16;79;410.17;-3844.92
2020-01-30 10:17:16;83;224.28;-7747.49
2020-01-30 10:17:16;94;101.64;1195.2
2020-02-04 07:22:20;3;19.36;2173.51
2020-02-04 07:22:20;9;255.55;-1383.67
2020-02-04 07:22:20;22;77.61;-6151.0
2020-02-04 07:22:20;23;178.5;-2491.96
2020-02-04 07:22:20;48;266.14;6768.61
2020-02-04 07:22:20;68;237.45;-3730.02
2020-02-04 07:22:20;71;476.88;-9973.68
2020-02-04 07:22:20;73;152.68;698.72
2020-02-04 07:22:20;85;386.33;-5640.06
2020-02-22 22:56:17;1;154.07;-1149.56
2020-02-22 22:56:17;10;340.71;1579.85
2020-02-22 22:56:17;13;440.63;-8055.31
2020-02-22 22:56:17;28;161.2;79.22
2020-02-22 22:56:17;58;76.53;4066.72
2020-02-22 22:56:17;91;243.18;-1599.28
2020-02-22 22:56:17;97;52.88;6428.37
2020-02-03 22:51:11;11;421.58;4103.58
2020-02-03 22:51:11;15;334.77;-6156.58
2020-02-03 22:51:11;20;56.58;4902.63
2020-02-03 22:51:11;21;183.85;-460.2
2020-02-03 22:51:11;36;374.89;9566.76
2020-02-03 22:51:11;59;131.36;2751.16
2020-01-14 01:29:05;12;98.37;-5500.08
2020-01-14 01:29:05;16;75.1;9110.8
2020-01-14 01:29:05;27;477.4;9008.36
2020-01-14 01:29:05;51;282.25;-3904.28
2020-01-14 01:29:05;56;359.44;-2391.01
2020-01-14 01:29:05;81;366.69;4663.43
2020-01-14 01:29:05;89;336.33;3284.0
2019-12-15 16:09:36;14;357.64;9706.24
2019-12-15 16:09:36;31;495.64;-3098.17
2019-12-15 16:09:36;53;315.36;-8028.92
2019-12-15 16:09:36;62;287.79;2449.2
2019-12-15 16:09:36;77;362.52;-7974.33
2019-12-15 16:09:36;79;102.49;472.69
2019-12-15 16:09:36;83;228.84;-7733.54
2019-12-15 16:09:36;94;309.27;7256.47
2020-01-02 18:59:40;1;284.48;-6103.91
2020-01-02 18:59:40;10;39.47;-7285.25
2020-01-02 18:59:40;13;215.21;5995.23
2020-01-02 18:59:40;28;14.84;-8085.66
2020-01-02 18:59:40;58;385.73;2063.87
2020-01-02 18:59:40;91;312.48;3751.77
